zip,state,comm_rate,res_rate,ind_rate
501,NY,0.12201455154861793,0.14582633804894596,0.0
544,NY,0.12201455154861793,0.14582633804894596,0.0
1001,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1002,MA,0.12462184331030635,0.14198044815096,0.1106781198787754
1003,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1004,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1005,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1007,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1008,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1009,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1010,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1011,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1012,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1013,MA,0.1253625546850401,0.13498751928609826,0.10284860002247549
1014,MA,0.12771538007401328,0.12600624389847054,0.1099902553108556
1020,MA,0.12897025287123118,0.1359377313701264,0.10656214963385516
1021,MA,0.12771538007401328,0.12600624389847054,0.1099902553108556
1022,MA,0.13082859692959029,0.13936226536314833,0.108851285108973
1026,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1027,MA,0.12024900951466619,0.13848065128931994,0.10587597180957738
1028,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1029,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1030,MA,0.1320636386397284,0.14408844471848634,0.10954696849981682
1031,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1032,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1033,MA,0.12513743277092418,0.1393180807755451,0.11056347578412211
1034,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1035,MA,0.12462184331030635,0.14198044815096,0.1106781198787754
1036,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1037,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1038,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1039,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1040,MA,0.13147403637449814,0.13670829219303454,0.10957551943717726
1041,MA,0.1215368766377948,0.12223959539803875,0.09740560773338368
1050,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1053,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1054,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1056,MA,0.1214847102019099,0.13923398098940631,0.10839290132507177
1057,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1059,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1060,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1061,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1062,MA,0.12410768219822109,0.13869030602547314,0.1084660345212101
1063,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1066,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1068,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1069,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1070,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1071,MA,0.1320636386397284,0.14408844471848634,0.10954696849981682
1072,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1073,MA,0.129431948139245,0.13862623238837443,0.10651162830820854
1074,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1075,MA,0.12462306760904854,0.13687829715018704,0.10868378034830233
1077,MA,0.1320636386397284,0.14408844471848634,0.10954696849981682
1079,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1080,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1081,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1082,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1083,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1084,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1085,MA,0.129431948139245,0.13862623238837443,0.10651162830820854
1086,MA,0.14399295389083291,0.14056109630757518,0.1246423684537878
1088,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1089,MA,0.12908863452619865,0.13610223469039365,0.10720735370873795
1090,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1092,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1093,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1094,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1095,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1096,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1097,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1098,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1101,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1102,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1103,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1104,MA,0.12663778070078854,0.13923682724878478,0.10466293078550609
1105,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1106,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1107,MA,0.12663778070078854,0.13923682724878478,0.10466293078550609
1108,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1109,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1111,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1115,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1116,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1118,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1119,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1128,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1129,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1138,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1139,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1144,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1151,MA,0.1214847102019099,0.13923398098940631,0.10839290132507177
1152,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1199,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1201,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1202,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1203,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1220,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1222,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1223,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1224,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1225,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1226,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1227,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1229,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1230,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1235,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1236,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1237,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1238,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1240,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1242,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1243,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1244,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1245,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1247,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1252,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1253,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1254,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1255,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1256,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1257,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1258,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1259,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1260,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1262,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1263,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1264,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1266,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1267,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1270,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1301,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1302,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1330,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1331,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1337,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1338,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1339,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1340,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1341,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1342,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1343,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1344,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1346,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1347,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1349,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1350,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1351,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1354,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1355,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1360,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1364,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1366,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1367,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1368,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1370,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1373,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1375,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1376,MA,0.12609898101417616,0.1458521189239419,0.10199926852283134
1378,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1379,MA,0.11992704273388405,0.14254091526214024,0.10799356282862581
1380,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1420,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1430,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1431,MA,0.15219618900949308,0.1769350124046251,0.09085204475835246
1432,MA,0.11548198784650064,0.12909119398436572,0.1103924337326682
1434,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1436,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1440,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1441,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1450,MA,0.13016766831169763,0.14822872135246948,0.1025762781429419
1451,MA,0.11403740396579107,0.1308470118840536,0.11155367862122945
1452,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1453,MA,0.1320205724437337,0.15392123307447708,0.10768034437047513
1460,MA,0.11718666363966448,0.13814911739969693,0.11074652932960716
1462,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1463,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1464,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1467,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1468,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1469,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1473,MA,0.13297564673154252,0.15808236200248185,0.10241995094638635
1474,MA,0.15219618900949308,0.1769350124046251,0.09085204475835246
1475,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1477,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1501,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1503,MA,0.1124046204102821,0.1381912962612648,0.11433770918525123
1504,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1505,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1506,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1507,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1508,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1509,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1510,MA,0.11857016139989407,0.13857871352104503,0.11889921077855693
1515,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1516,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1518,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1519,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1520,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1521,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1522,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1523,MA,0.1320205724437337,0.15392123307447708,0.10768034437047513
1524,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1525,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1526,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1527,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1529,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1531,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1532,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1534,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1535,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1536,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1537,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1538,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1540,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1541,MA,0.11857016139989407,0.13857871352104503,0.11889921077855693
1542,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1543,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1545,MA,0.11805236949392058,0.13469664597776027,0.11398334678409516
1546,MA,0.1266468995745778,0.12563051473260362,0.11397432608344495
1550,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1560,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1561,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1562,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1564,MA,0.11857016139989407,0.13857871352104503,0.11889921077855693
1566,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1568,MA,0.11674939089150109,0.14548285706151617,0.11263276492971794
1569,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
1570,MA,0.11375510445359197,0.1392297116003386,0.11398785713442026
