zip,lat,lon,area,wealth,res_rate
33914,26.5606909,-82.00801400000002,2146237.79,16065.900691809864,0.10976917605637301
33904,26.5804293,-81.94257009999998,1814869.51,13945.963316238203,0.10815345035338923
79936,31.7599791,-106.287521,1703747.947686116,13675.414444664497,0.1128365028254346
33165,25.7327581,-80.3547286,1678596.2900000003,13745.433222319187,0.10653772465040548
73160,35.34593270000001,-97.4705935,1643398.1900000004,15938.37960720009,0.09966131275640516
92683,33.753153600000005,-118.0010421,1640421.3599999996,15316.144383656278,0.12503858675468665
33023,25.9868744,-80.2153998,1629421.14,13160.305209513024,0.10653772465040548
85710,32.2165669,-110.81952920000002,1626031.64,13230.934513859549,0.11507082210781758
92345,34.3627106,-117.2911248,1463455.7209926224,10824.612335641237,0.12503858675468665
33990,26.6272788,-81.94257009999998,1450383.54,14034.900649558089,0.10815345035338923
74012,36.05826630000001,-95.7932008,1395436.9400000004,19710.61187984564,0.09306505922972363
33024,26.0195493,-80.22352269999998,1376413.9199999995,16273.86319544402,0.10653772465040548
70065,30.0893328,-90.2807868,1324027.9600000002,17582.741861648014,0.08953018063378321
33311,26.142147,-80.17634670000002,1313529.3099999998,11350.854733013513,0.10653772465040548
66062,38.8271089,-94.7898731,1298250.9926224016,25199.815202053458,0.12223257976786557
92804,33.82353,-117.9659037,1261856.7800000005,13081.917254463768,0.13377427551693968
33312,26.0898957,-80.1819268,1258505.3400000005,16159.517054090751,0.10653772465040548
92708,33.7168761,-117.9600466,1254565.63,22687.646060995645,0.12503858675468665
33317,26.1218038,-80.22097729999999,1252905.32,19882.801877191,0.10653772465040548
33021,26.0197012,-80.1819268,1249924.7399999995,18119.33953964417,0.10653772465040548
90650,33.90777509999999,-118.0830047,1234493.84,13902.933405337804,0.12503858675468665
92646,33.6587745,-117.9659037,1233239.82,27222.131518904825,0.12503858675468665
78504,26.2892001,-98.2322355,1223988.39,16364.885612795926,0.09187091845453296
93307,35.24211029999999,-118.9761519,1215921.193829643,7568.354908175856,0.13294426771143364
78660,30.4332061,-97.60057859999999,1212003.3936955056,20005.032417973805,0.10574383726184694
